pair_index,camera_index,frame_index,frame_id,camera_timestamp,host_timestamp_ns
245,0,245,245,27834240096920,1777524069712571200
245,1,245,245,27833692656640,1777524069712571200
246,0,246,246,27834242494920,1777524069717932900
246,1,246,246,27833695054880,1777524069717932900
247,0,247,247,27834244893040,1777524069717932900
247,1,247,247,27833697453256,1777524069721794800
248,0,248,248,27834247292144,1777524069721794800
248,1,248,248,27833699851320,1777524069724860400
249,0,249,249,27834249689704,1777524069724860400
249,1,249,249,27833702250400,1777524069725864200
250,0,250,250,27834252088840,1777524069725864200
250,1,250,250,27833704648952,1777524069728387600
251,0,251,251,27834254486736,1777524069728387600
251,1,251,251,27833707046864,1777524069728387600
252,0,252,252,27834256885296,1777524069728387600
252,1,252,252,27833709444864,1777524069734518700
253,0,253,253,27834259283504,1777524069734518700
253,1,253,253,27833711843400,1777524069734518700
254,0,254,254,27834261681920,1777524069734518700
254,1,254,254,27833714241920,1777524069734518700
255,0,255,255,27834264079920,1777524069734518700
255,1,255,255,27833716640584,1777524069741718400
256,0,256,256,27834266478184,1777524069741718400
256,1,256,256,27833719038840,1777524069742632200
257,0,257,257,27834268876424,1777524069742632200
257,1,257,257,27833721437200,1777524069745884100
258,0,258,258,27834271274880,1777524069745884100
258,1,258,258,27833723834880,1777524069745884100
259,0,259,259,27834273673808,1777524069745884100
259,1,259,259,27833726234008,1777524069745884100
260,0,260,260,27834276071400,1777524069745884100
260,1,260,260,27833728631728,1777524069752074300
261,0,261,261,27834278470184,1777524069752074300
261,1,261,261,27833731029976,1777524069755164500
262,0,262,262,27834280868808,1777524069755164500
262,1,262,262,27833733428672,1777524069757792400
263,0,263,263,27834283266904,1777524069758883000
263,1,263,263,27833735826840,1777524069758883000
264,0,264,264,27834285665456,1777524069761468800
264,1,264,264,27833738224824,1777524069761468800
265,0,265,265,27834288063880,1777524069761468800
265,1,265,265,27833740623960,1777524069761468800
266,0,266,266,27834290462048,1777524069761468800
266,1,266,266,27833743021728,1777524069767863800
267,0,267,267,27834292860424,1777524069767863800
267,1,267,267,27833745419904,1777524069769139900
268,0,268,268,27834295258768,1777524069769139900
268,1,268,268,27833747818864,1777524069769139900
269,0,269,269,27834297656952,1777524069773299400
269,1,269,269,27833750216864,1777524069774546900
270,0,270,270,27834300055112,1777524069775449700
270,1,270,270,27833752614904,1777524069775449700
271,0,271,271,27834302453208,1777524069775449700
271,1,271,271,27833755013600,1777524069779389200
272,0,272,272,27834304851920,1777524069779389200
272,1,272,272,27833757412144,1777524069779389200
273,0,273,273,27834307250784,1777524069779389200
273,1,273,273,27833759810400,1777524069784640100
274,0,274,274,27834309648920,1777524069784640100
274,1,274,274,27833762208368,1777524069784640100
275,0,275,275,27834312046728,1777524069784640100
275,1,275,275,27833764606640,1777524069788478200
276,0,276,276,27834314445808,1777524069788478200
276,1,276,276,27833767004952,1777524069792078600
277,0,277,277,27834316843864,1777524069792078600
277,1,277,277,27833769403824,1777524069792078600
278,0,278,278,27834319241880,1777524069794941800
278,1,278,278,27833771801904,1777524069794941800
279,0,279,279,27834321640328,1777524069794941800
279,1,279,279,27833774200808,1777524069794941800
280,0,280,280,27834324038920,1777524069794941800
280,1,280,280,27833776598880,1777524069801686700
281,0,281,281,27834326436904,1777524069801686700
281,1,281,281,27833778996952,1777524069801686700
282,0,282,282,27834328835824,1777524069801686700
282,1,282,282,27833781394952,1777524069801686700
283,0,283,283,27834331233640,1777524069806799600
283,1,283,283,27833783793904,1777524069808755700
284,0,284,284,27834333631920,1777524069808755700
284,1,284,284,27833786191864,1777524069808755700
285,0,285,285,27834336030720,1777524069808755700
285,1,285,285,27833788590296,1777524069812429900
286,0,286,286,27834338428672,1777524069812429900
286,1,286,286,27833790989016,1777524069812429900
287,0,287,287,27834340826880,1777524069812429900
287,1,287,287,27833793387424,1777524069818223300
288,0,288,288,27834343225464,1777524069818223300
288,1,288,288,27833795785584,1777524069819455100
289,0,289,289,27834345623528,1777524069819455100
289,1,289,289,27833798183768,1777524069821958600
290,0,290,290,27834348021840,1777524069821958600
290,1,290,290,27833800582320,1777524069825531100
291,0,291,291,27834350420784,1777524069825531100
291,1,291,291,27833802980680,1777524069825531100
292,0,292,292,27834352818736,1777524069828347700
292,1,292,292,27833805378880,1777524069828347700
293,0,293,293,27834355216880,1777524069828347700
293,1,293,293,27833807776920,1777524069828347700
294,0,294,294,27834357615240,1777524069828347700
294,1,294,294,27833810175424,1777524069828347700
295,0,295,295,27834360013840,1777524069828347700
295,1,295,295,27833812573768,1777524069836008400
296,0,296,296,27834362412568,1777524069836008400
296,1,296,296,27833814971904,1777524069836008400
297,0,297,297,27834364810920,1777524069840270900
297,1,297,297,27833817370384,1777524069842314200
298,0,298,298,27834367208840,1777524069842723200
298,1,298,298,27833819768680,1777524069842723200
299,0,299,299,27834369606768,1777524069842723200
299,1,299,299,27833822166864,1777524069845748900
300,0,300,300,27834372005880,1777524069845748900
300,1,300,300,27833824564960,1777524069845748900
301,0,301,301,27834374403904,1777524069845748900
301,1,301,301,27833826963840,1777524069845748900
302,0,302,302,27834376801840,1777524069852455900
302,1,302,302,27833829362120,1777524069852455900
303,0,303,303,27834379200808,1777524069852455900
303,1,303,303,27833831760600,1777524069855200000
304,0,304,304,27834381598736,1777524069855200000
304,1,304,304,27833834158904,1777524069859299800
305,0,305,305,27834383997240,1777524069859299800
305,1,305,305,27833836557368,1777524069861518100
306,0,306,306,27834386395400,1777524069861518100
306,1,306,306,27833838955736,1777524069861518100
307,0,307,307,27834388793576,1777524069861518100
307,1,307,307,27833841353768,1777524069861518100
308,0,308,308,27834391192240,1777524069861518100
308,1,308,308,27833843752256,1777524069868828400
309,0,309,309,27834393590904,1777524069868828400
309,1,309,309,27833846150680,1777524069869834500
310,0,310,310,27834395988400,1777524069869834500
310,1,310,310,27833848548696,1777524069873429100
311,0,311,311,27834398387288,1777524069873429100
311,1,311,311,27833850946736,1777524069875298700
